building_id,edge_no,x_epsg5179,y_epsg5179,lat,lon,alt
BLD01000000HI97H6,3,1163520.9457952739,1732964.8183329876,35.57923570272781,129.30469107601365,135.0979
BLD01000000HI97H6,4,1163527.1531601008,1732971.562427265,35.57929545555612,129.30476091685122,133.5979
BLD01000000HI97H6,4,1163527.1531601008,1732971.562427265,35.57929545555612,129.30476091685122,135.0979
BLD01000000389BCH,1,1163905.795368989,1732476.9993253048,35.57477578494694,129.30883768371802,172.429993
BLD01000000389BCH,1,1163905.795368989,1732476.9993253048,35.57477578494694,129.30883768371802,183.550003
BLD01000000389BCH,1,1163901.308177628,1732470.606158292,35.574718912188835,129.3087868902288,172.429993
BLD01000000389BCH,1,1163901.308177628,1732470.606158292,35.574718912188835,129.3087868902288,183.550003
BLD01000000389BCH,2,1163896.8209862674,1732464.2129912789,35.574662039406675,129.30873609681228,172.429993
BLD01000000389BCH,2,1163896.8209862674,1732464.2129912789,35.574662039406675,129.30873609681228,183.550003
BLD01000000389BCH,2,1163890.6034967885,1732468.511289067,35.574701805382695,129.30866838331568,172.429993
BLD01000000389BCH,2,1163890.6034967885,1732468.511289067,35.574701805382695,129.30866838331568,183.550003
BLD01000000389BCH,3,1163884.3860073097,1732472.8095868554,35.57474157132237,129.30860066975134,172.429993
BLD01000000389BCH,3,1163884.3860073097,1732472.8095868554,35.57474157132237,129.30860066975134,183.550003
BLD01000000389BCH,3,1163889.2140242928,1732479.656770001,35.574802479364465,129.30865531475328,172.429993
BLD01000000389BCH,3,1163889.2140242928,1732479.656770001,35.574802479364465,129.30865531475328,183.550003
BLD01000000389BCH,3,1163894.0420412759,1732486.5039531465,35.57486338737874,129.30870995983895,172.429993
BLD01000000389BCH,3,1163894.0420412759,1732486.5039531465,35.57486338737874,129.30870995983895,183.550003
BLD01000000389BCH,4,1163898.870058259,1732493.351136292,35.57492429536523,129.30876460500838,172.429993
BLD01000000389BCH,4,1163898.870058259,1732493.351136292,35.57492429536523,129.30876460500838,183.550003
BLD01000000389BCH,5,1163910.8187543822,1732484.8183963732,35.57484541925442,129.30889468098957,172.429993
BLD01000000389BCH,5,1163910.8187543822,1732484.8183963732,35.57484541925442,129.30889468098957,183.550003
BLD01000000389BCH,6,1163909.5111625674,1732477.8295688806,35.57478265191595,129.30887884060235,172.429993
BLD01000000389BCH,6,1163909.5111625674,1732477.8295688806,35.57478265191595,129.30887884060235,183.550003
BLD010000003678GE,1,1163895.5124675385,1732492.851280749,35.574920346535684,129.3087274663278,172.649994
BLD010000003678GE,1,1163895.5124675385,1732492.851280749,35.574920346535684,129.3087274663278,181.339996
BLD010000003678GE,1,1163888.975103092,1732483.9219571431,35.57484095711832,129.30865354355524,172.649994
BLD010000003678GE,1,1163888.975103092,1732483.9219571431,35.57484095711832,129.30865354355524,181.339996
BLD010000003678GE,2,1163882.4377386454,1732474.9926335374,35.57476156765032,129.30857962093006,172.649994
BLD010000003678GE,2,1163882.4377386454,1732474.9926335374,35.57476156765032,129.30857962093006,181.339996
BLD010000003678GE,3,1163873.2546808033,1732481.5182899921,35.574821897605815,129.30847964563102,172.649994
BLD010000003678GE,3,1163873.2546808033,1732481.5182899921,35.574821897605815,129.30847964563102,181.339996
BLD010000003678GE,3,1163879.7676810238,1732490.2021253714,35.574899078810084,129.30855324971338,172.649994
BLD010000003678GE,3,1163879.7676810238,1732490.2021253714,35.574899078810084,129.30855324971338,181.339996
BLD010000003678GE,4,1163886.2806812443,1732498.8859607507,35.57497625996428,129.30862685393834,172.649994
