receiver_id,reference,type,big_grid_id,x_epsg5179,y_epsg5179,lat,lon,alt
9823,,terrain,0007_0004,1163785.0000000,1732405.0000000,35.5741469,129.3074906,160.7430520
9824,BLD010000003676KG,building,0007_0004,1163779.9913419,1732405.1295918,35.5741489,129.3074354,182.1300050
9825,BLD010000003676KG,building,0007_0004,1163779.9913419,1732405.1295918,35.5741489,129.3074354,170.5450060
9826,BLD010000003676KG,building,0007_0004,1163779.9913419,1732405.1295918,35.5741489,129.3074354,158.9600070
9827,BLD010000003676KG,building,0007_0004,1163772.5209829,1732409.8584576,35.5741928,129.3073539,182.1300050
9828,BLD010000003676KG,building,0007_0004,1163772.5209829,1732409.8584576,35.5741928,129.3073539,170.5450060
9829,BLD010000003676KG,building,0007_0004,1163772.5209829,1732409.8584576,35.5741928,129.3073539,158.9600070
9830,,terrain,0007_0004,1163765.0000000,1732405.0000000,35.5741502,129.3072700,158.0423057
9831,,terrain,0007_0004,1163755.0000000,1732405.0000000,35.5741519,129.3071597,157.0526734
9832,BLD01000000389BDI,building,0007_0004,1163750.5187332,1732406.4022175,35.5741653,129.3071105,178.1900020
9833,BLD01000000389BDI,building,0007_0004,1163750.5187332,1732406.4022175,35.5741653,129.3071105,169.9199980
9834,BLD01000000389BDI,building,0007_0004,1163750.5187332,1732406.4022175,35.5741653,129.3071105,161.6499940
9835,BLD01000000389BDI,roof,0007_0004,1163741.7183236,1732405.9952010,35.5741630,129.3070134,179.1900020
9836,BLD01000000389BDI,building,0007_0004,1163732.8224015,1732405.4260441,35.5741594,129.3069151,178.1900020
9837,BLD01000000389BDI,building,0007_0004,1163732.8224015,1732405.4260441,35.5741594,129.3069151,169.9199980
9838,BLD01000000389BDI,building,0007_0004,1163732.8224015,1732405.4260441,35.5741594,129.3069151,161.6499940
9839,BLD01000000389BX2,building,0007_0004,1163729.2181562,1732406.3509787,35.5741683,129.3068756,157.2700040
9840,BLD01000000389BX2,building,0007_0004,1163729.2181562,1732406.3509787,35.5741683,129.3068756,156.1600040
9841,BLD01000000389BX2,building,0007_0004,1163725.6794219,1732400.4121707,35.5741154,129.3068353,157.2700040
9842,BLD01000000389BX2,building,0007_0004,1163725.6794219,1732400.4121707,35.5741154,129.3068353,156.1600040
