receiver_id,building_id,edge_no,ground_factor,type,grid_id,grid_order,x_epsg5179,y_epsg5179,lat,lon,alt
185,,,0.4126690,terrain,0001_0009,1,1163135.0000000,1732925.0000000,35.5789405,129.3004255,104.7591381
186,,,0.8247849,terrain,0001_0009,1,1163125.0000000,1732925.0000000,35.5789422,129.3003151,100.3751889
187,,,0.8241351,terrain,0001_0009,1,1163115.0000000,1732925.0000000,35.5789438,129.3002048,96.6803471
188,,,0.2167409,terrain,0001_0009,1,1163105.0000000,1732925.0000000,35.5789455,129.3000945,94.5810008
189,,,0.8976189,terrain,0001_0009,1,1163105.0000000,1732915.0000000,35.5788554,129.3000925,97.6624204
190,,,0.6496894,terrain,0001_0009,1,1163115.0000000,1732915.0000000,35.5788537,129.3002028,97.1588721
191,,,0.0815461,terrain,0001_0009,1,1163125.0000000,1732915.0000000,35.5788521,129.3003131,99.9173134
192,,,0.0000000,terrain,0001_0009,1,1163135.0000000,1732915.0000000,35.5788504,129.3004234,101.9460228
193,,,0.0000000,terrain,0001_0009,1,1163145.0000000,1732915.0000000,35.5788488,129.3005338,103.0692984
194,,,0.0000000,terrain,0001_0009,1,1163155.0000000,1732915.0000000,35.5788471,129.3006441,105.4908978
195,,,0.0000000,terrain,0001_0009,1,1163165.0000000,1732915.0000000,35.5788455,129.3007544,106.4731608
196,,,0.1632265,terrain,0001_0009,1,1163175.0000000,1732915.0000000,35.5788438,129.3008647,107.6484443
197,,,0.5666042,terrain,0001_0009,1,1163185.0000000,1732915.0000000,35.5788422,129.3009750,110.7763621
198,,,0.9043604,terrain,0001_0009,1,1163195.0000000,1732915.0000000,35.5788405,129.3010853,111.5179247
199,,,1.0000000,terrain,0001_0009,1,1163195.0000000,1732905.0000000,35.5787504,129.3010833,110.7508439
200,,,1.0000000,terrain,0001_0009,1,1163185.0000000,1732905.0000000,35.5787521,129.3009730,109.2330567
201,,,0.9097157,terrain,0001_0009,1,1163175.0000000,1732905.0000000,35.5787537,129.3008627,106.8107196
202,,,0.2108209,terrain,0001_0009,1,1163165.0000000,1732905.0000000,35.5787554,129.3007524,105.0190273
203,,,0.0000000,terrain,0001_0009,1,1163155.0000000,1732905.0000000,35.5787570,129.3006420,102.2239233
204,,,0.0000000,terrain,0001_0009,1,1163145.0000000,1732905.0000000,35.5787587,129.3005317,101.6260267
205,,,0.0000000,terrain,0001_0009,1,1163135.0000000,1732905.0000000,35.5787603,129.3004214,100.1785571
206,,,0.0000000,terrain,0001_0009,1,1163125.0000000,1732905.0000000,35.5787619,129.3003111,99.7673919
207,,,0.0000000,terrain,0001_0009,1,1163115.0000000,1732905.0000000,35.5787636,129.3002008,99.1014380
208,,,0.1682687,terrain,0001_0009,1,1163105.0000000,1732905.0000000,35.5787652,129.3000905,100.3449026
209,,,1.0000000,terrain,0002_0009,2,1163205.0000000,1732995.0000000,35.5795599,129.3012118,106.5000000
210,,,1.0000000,terrain,0002_0009,2,1163215.0000000,1732995.0000000,35.5795582,129.3013221,106.5453668
211,,,1.0000000,terrain,0002_0009,2,1163225.0000000,1732995.0000000,35.5795566,129.3014324,106.5220507
212,,,0.9886716,terrain,0002_0009,2,1163235.0000000,1732995.0000000,35.5795549,129.3015427,109.6001018
213,,,0.4870860,terrain,0002_0009,2,1163245.0000000,1732995.0000000,35.5795533,129.3016531,111.5377335
214,,,0.1202051,terrain,0002_0009,2,1163255.0000000,1732995.0000000,35.5795516,129.3017634,113.6331631
215,,,0.0000000,terrain,0002_0009,2,1163265.0000000,1732995.0000000,35.5795500,129.3018737,113.0724452
216,,,0.0000000,terrain,0002_0009,2,1163275.0000000,1732995.0000000,35.5795483,129.3019840,112.4297278
217,,,0.0000000,terrain,0002_0009,2,1163285.0000000,1732995.0000000,35.5795467,129.3020943,113.8626202
218,,,0.0000000,terrain,0002_0009,2,1163295.0000000,1732995.0000000,35.5795450,129.3022046,118.0875512
219,,,0.0000000,terrain,0002_0009,2,1163295.0000000,1732985.0000000,35.5794549,129.3022026,120.5018315
220,,,0.0000000,terrain,0002_0009,2,1163285.0000000,1732985.0000000,35.5794565,129.3020923,113.7281850
221,,,0.0000000,terrain,0002_0009,2,1163275.0000000,1732985.0000000,35.5794582,129.3019820,112.3252640
222,,,0.0000000,terrain,0002_0009,2,1163265.0000000,1732985.0000000,35.5794598,129.3018717,112.6691096
223,,,0.0000000,terrain,0002_0009,2,1163255.0000000,1732985.0000000,35.5794615,129.3017614,112.4451956
224,,,0.0000000,terrain,0002_0009,2,1163245.0000000,1732985.0000000,35.5794631,129.3016510,111.4938161
225,,,0.8277188,terrain,0002_0009,2,1163235.0000000,1732985.0000000,35.5794648,129.3015407,109.5712471
226,,,1.0000000,terrain,0002_0009,2,1163225.0000000,1732985.0000000,35.5794664,129.3014304,107.1920232
227,,,1.0000000,terrain,0002_0009,2,1163215.0000000,1732985.0000000,35.5794681,129.3013201,106.5000000
228,,,1.0000000,terrain,0002_0009,2,1163205.0000000,1732985.0000000,35.5794697,129.3012098,106.5000000
229,,,1.0000000,terrain,0002_0009,2,1163205.0000000,1732975.0000000,35.5793796,129.3012078,106.5187838
230,,,0.8579299,terrain,0002_0009,2,1163215.0000000,1732975.0000000,35.5793780,129.3013181,106.6148751
231,,,0.4712774,terrain,0002_0009,2,1163225.0000000,1732975.0000000,35.5793763,129.3014284,107.7012083
232,,,0.1127594,terrain,0002_0009,2,1163235.0000000,1732975.0000000,35.5793747,129.3015387,110.0134957
233,,,0.0000000,terrain,0002_0009,2,1163245.0000000,1732975.0000000,35.5793730,129.3016490,111.3627872
234,,,0.0000000,terrain,0002_0009,2,1163255.0000000,1732975.0000000,35.5793714,129.3017593,112.4512641
235,,,0.0000000,terrain,0002_0009,2,1163265.0000000,1732975.0000000,35.5793697,129.3018696,114.0139843
236,,,0.0000000,terrain,0002_0009,2,1163275.0000000,1732975.0000000,35.5793681,129.3019800,114.9750263
237,,,0.0130930,terrain,0002_0009,2,1163285.0000000,1732975.0000000,35.5793664,129.3020903,117.2511682
238,,,0.2163582,terrain,0002_0009,2,1163295.0000000,1732975.0000000,35.5793648,129.3022006,121.4985711
239,,,1.0000000,terrain,0002_0009,2,1163295.0000000,1732965.0000000,35.5792746,129.3021986,121.5769312
240,,,0.7388685,terrain,0002_0009,2,1163285.0000000,1732965.0000000,35.5792763,129.3020883,118.0565608
241,,,0.5079959,terrain,0002_0009,2,1163275.0000000,1732965.0000000,35.5792779,129.3019779,116.4938071
242,,,0.7010281,terrain,0002_0009,2,1163265.0000000,1732965.0000000,35.5792796,129.3018676,114.5075633
243,,,0.2678432,terrain,0002_0009,2,1163255.0000000,1732965.0000000,35.5792812,129.3017573,111.8208847
244,,,0.0149800,terrain,0002_0009,2,1163245.0000000,1732965.0000000,35.5792829,129.3016470,111.5000000
