reference,x_epsg5179,y_epsg5179,lat,lon,alt
,1163205.0000000,1732015.0000000,35.5707280,129.3010140,117.6025333
,1163215.0000000,1732015.0000000,35.5707263,129.3011243,120.2584799
,1163225.0000000,1732015.0000000,35.5707247,129.3012346,121.6210933
,1163235.0000000,1732015.0000000,35.5707230,129.3013449,123.3057881
,1163245.0000000,1732015.0000000,35.5707214,129.3014552,124.8820396
,1163255.0000000,1732015.0000000,35.5707197,129.3015655,126.4157895
,1163265.0000000,1732015.0000000,35.5707181,129.3016758,126.5751284
,1163275.0000000,1732015.0000000,35.5707164,129.3017862,128.8741491
,1163285.0000000,1732015.0000000,35.5707148,129.3018965,130.7949902
,1163295.0000000,1732015.0000000,35.5707131,129.3020068,131.5000000
,1163305.0000000,1732015.0000000,35.5707115,129.3021171,131.5000000
,1163315.0000000,1732015.0000000,35.5707098,129.3022274,130.8617146
,1163325.0000000,1732015.0000000,35.5707082,129.3023377,127.6980210
,1163335.0000000,1732015.0000000,35.5707065,129.3024480,124.7608337
,1163345.0000000,1732015.0000000,35.5707049,129.3025583,121.4627548
,1163355.0000000,1732015.0000000,35.5707032,129.3026686,118.3662349
,1163365.0000000,1732015.0000000,35.5707016,129.3027789,116.2397475
,1163375.0000000,1732015.0000000,35.5706999,129.3028892,112.3239531
,1163385.0000000,1732015.0000000,35.5706983,129.3029995,111.0271087
,1163395.0000000,1732015.0000000,35.5706966,129.3031098,108.0800908
,1163405.0000000,1732015.0000000,35.5706950,129.3032201,106.8930017
,1163415.0000000,1732015.0000000,35.5706933,129.3033304,106.6971536
,1163425.0000000,1732015.0000000,35.5706917,129.3034407,104.0380936
,1163435.0000000,1732015.0000000,35.5706900,129.3035510,101.3416751
,1163445.0000000,1732015.0000000,35.5706884,129.3036613,101.5000000
,1163455.0000000,1732015.0000000,35.5706867,129.3037716,101.5000000
,1163465.0000000,1732015.0000000,35.5706851,129.3038819,101.7300474
,1163475.0000000,1732015.0000000,35.5706834,129.3039922,105.0724550
,1163485.0000000,1732015.0000000,35.5706818,129.3041025,106.5294651
,1163495.0000000,1732015.0000000,35.5706801,129.3042128,107.8694246
,1163505.0000000,1732015.0000000,35.5706785,129.3043231,111.3538518
,1163515.0000000,1732015.0000000,35.5706768,129.3044334,111.8290639
,1163525.0000000,1732015.0000000,35.5706752,129.3045437,113.7921303
,1163535.0000000,1732015.0000000,35.5706735,129.3046541,115.1657239
,1163545.0000000,1732015.0000000,35.5706719,129.3047644,115.6454587
,1163555.0000000,1732015.0000000,35.5706702,129.3048747,115.5902249
,1163565.0000000,1732015.0000000,35.5706686,129.3049850,115.0496616
,1163575.0000000,1732015.0000000,35.5706669,129.3050953,113.0250135
,1163585.0000000,1732015.0000000,35.5706653,129.3052056,109.9333428
,1163595.0000000,1732015.0000000,35.5706636,129.3053159,106.9229334
,1163605.0000000,1732015.0000000,35.5706620,129.3054262,106.6662959
,1163615.0000000,1732015.0000000,35.5706603,129.3055365,108.3250444
,1163625.0000000,1732015.0000000,35.5706587,129.3056468,110.7403757
,1163635.0000000,1732015.0000000,35.5706570,129.3057571,111.4196433
,1163645.0000000,1732015.0000000,35.5706554,129.3058674,111.5374403
,1163655.0000000,1732015.0000000,35.5706537,129.3059777,111.6314435
,1163665.0000000,1732015.0000000,35.5706520,129.3060880,111.5034074
,1163675.0000000,1732015.0000000,35.5706504,129.3061983,112.0455923
,1163685.0000000,1732015.0000000,35.5706487,129.3063086,114.9332922
,1163695.0000000,1732015.0000000,35.5706471,129.3064189,116.9601745
,1163705.0000000,1732015.0000000,35.5706454,129.3065292,120.5503963
,1163715.0000000,1732015.0000000,35.5706438,129.3066395,122.3651797
,1163725.0000000,1732015.0000000,35.5706421,129.3067498,126.0871278
,1163735.0000000,1732015.0000000,35.5706405,129.3068601,128.0161807
,1163745.0000000,1732015.0000000,35.5706388,129.3069704,130.1141783
,1163755.0000000,1732015.0000000,35.5706372,129.3070807,129.5328188
,1163765.0000000,1732015.0000000,35.5706355,129.3071910,126.3092361
,1163775.0000000,1732015.0000000,35.5706339,129.3073013,121.3226409
,1163785.0000000,1732015.0000000,35.5706322,129.3074116,116.5092841
,1163795.0000000,1732015.0000000,35.5706305,129.3075219,111.7870196
,1163805.0000000,1732015.0000000,35.5706289,129.3076323,108.0484797
,1163815.0000000,1732015.0000000,35.5706272,129.3077426,106.3204333
,1163825.0000000,1732015.0000000,35.5706256,129.3078529,103.6303613
,1163835.0000000,1732015.0000000,35.5706239,129.3079632,101.9429693
,1163845.0000000,1732015.0000000,35.5706223,129.3080735,101.1778261
,1163855.0000000,1732015.0000000,35.5706206,129.3081838,97.6009074
,1163865.0000000,1732015.0000000,35.5706190,129.3082941,92.8025145
,1163875.0000000,1732015.0000000,35.5706173,129.3084044,90.2991738
,1163885.0000000,1732015.0000000,35.5706157,129.3085147,86.6351058
,1163895.0000000,1732015.0000000,35.5706140,129.3086250,84.4120307
,1163905.0000000,1732015.0000000,35.5706123,129.3087353,84.9316360
,1163915.0000000,1732015.0000000,35.5706107,129.3088456,85.8068986
,1163925.0000000,1732015.0000000,35.5706090,129.3089559,86.7677014
,1163935.0000000,1732015.0000000,35.5706074,129.3090662,88.1155603
,1163945.0000000,1732015.0000000,35.5706057,129.3091765,91.2346565
,1163955.0000000,1732015.0000000,35.5706041,129.3092868,92.7507188
,1163965.0000000,1732015.0000000,35.5706024,129.3093971,95.3231522
,1163975.0000000,1732015.0000000,35.5706008,129.3095074,96.8388985
,1163985.0000000,1732015.0000000,35.5705991,129.3096177,99.2989872
,1163995.0000000,1732015.0000000,35.5705974,129.3097280,101.7686418
,1163005.0000000,1732025.0000000,35.5708510,129.2988100,126.2556756
,1163015.0000000,1732025.0000000,35.5708494,129.2989203,125.0846689
,1163025.0000000,1732025.0000000,35.5708478,129.2990306,122.2824210
,1163035.0000000,1732025.0000000,35.5708461,129.2991409,121.4040725
,1163045.0000000,1732025.0000000,35.5708445,129.2992512,116.8631322
,1163055.0000000,1732025.0000000,35.5708428,129.2993615,112.9045489
,1163065.0000000,1732025.0000000,35.5708412,129.2994718,110.5897628
,1163075.0000000,1732025.0000000,35.5708395,129.2995821,107.1219115
,1163085.0000000,1732025.0000000,35.5708379,129.2996924,106.5190623
,1163095.0000000,1732025.0000000,35.5708362,129.2998027,106.4940861
,1163105.0000000,1732025.0000000,35.5708346,129.2999130,106.3416642
,1163115.0000000,1732025.0000000,35.5708329,129.3000233,106.4886903
,1163125.0000000,1732025.0000000,35.5708313,129.3001336,108.6733247
,1163135.0000000,1732025.0000000,35.5708296,129.3002439,111.2016045
,1163145.0000000,1732025.0000000,35.5708280,129.3003542,111.6881969
,1163155.0000000,1732025.0000000,35.5708263,129.3004645,113.8980829
,1163165.0000000,1732025.0000000,35.5708247,129.3005748,115.8982838
,1163175.0000000,1732025.0000000,35.5708230,129.3006851,116.8293939
,1163185.0000000,1732025.0000000,35.5708214,129.3007954,117.8676780
,1163195.0000000,1732025.0000000,35.5708197,129.3009057,118.5029447
,1163205.0000000,1732025.0000000,35.5708181,129.3010160,119.9957792
,1163215.0000000,1732025.0000000,35.5708165,129.3011263,121.4659441
,1163225.0000000,1732025.0000000,35.5708148,129.3012366,122.1223547
,1163235.0000000,1732025.0000000,35.5708132,129.3013470,125.1028783
,1163245.0000000,1732025.0000000,35.5708115,129.3014573,126.9950244
,1163255.0000000,1732025.0000000,35.5708099,129.3015676,127.8184159
,1163265.0000000,1732025.0000000,35.5708082,129.3016779,130.2528395
,1163275.0000000,1732025.0000000,35.5708066,129.3017882,131.2729993
,1163285.0000000,1732025.0000000,35.5708049,129.3018985,131.5178662
,1163295.0000000,1732025.0000000,35.5708033,129.3020088,131.8156209
,1163305.0000000,1732025.0000000,35.5708016,129.3021191,131.5000000
,1163315.0000000,1732025.0000000,35.5708000,129.3022294,131.3419879
,1163325.0000000,1732025.0000000,35.5707983,129.3023397,128.5357126
